id,code,name,user_type_id:id,reconcile,chart_template_id:id
101,101,Kapitali i paguar,account.data_account_type_equity,FALSE,l10n_al_chart_template_generic
102,102,Kapitali i nenshkruar i papaguar,account.data_account_type_equity,FALSE,l10n_al_chart_template_generic
103,103,Aksione te thesarit,account.data_account_type_equity,FALSE,l10n_al_chart_template_generic
104,104,Prime te lidhura me kapitalin,account.data_account_type_equity,FALSE,l10n_al_chart_template_generic
105,105,Zbritje te lidhura me kapitalin,account.data_account_type_equity,FALSE,l10n_al_chart_template_generic
106,106,Rezerva nga rivleresimi,account.data_account_type_equity,FALSE,l10n_al_chart_template_generic
107,107,Rezerva te tjera,account.data_account_type_equity,FALSE,l10n_al_chart_template_generic
108,108,Fitimi/Humbja e pashperndare,account.data_unaffected_earnings,FALSE,l10n_al_chart_template_generic
109,109,Rezultati i ushtrimit,account.data_account_type_current_liabilities,FALSE,l10n_al_chart_template_generic
201,201,Emri i mirë,account.data_account_type_fixed_assets,FALSE,l10n_al_chart_template_generic
203,203,Shpenzime të kerkim -zhvillimit,account.data_account_type_fixed_assets,FALSE,l10n_al_chart_template_generic
205,205,"Koncensione dhe të drejta të ngjashme, licensa, maka, programe informatike, te drejta dhe llogari te ngjashme",account.data_account_type_fixed_assets,FALSE,l10n_al_chart_template_generic
208,208,Të tjera AA jomateriale,account.data_account_type_fixed_assets,FALSE,l10n_al_chart_template_generic
211,211,Toka,account.data_account_type_fixed_assets,FALSE,l10n_al_chart_template_generic
212,212,Ndertesa,account.data_account_type_fixed_assets,FALSE,l10n_al_chart_template_generic
213,213,"Instalime teknike, makineri, pajisje,instrumente dhe vegla pune",account.data_account_type_fixed_assets,FALSE,l10n_al_chart_template_generic
214,214,Ndertime mbi token te tjetrit,account.data_account_type_fixed_assets,FALSE,l10n_al_chart_template_generic
215,215,Mjete transporti,account.data_account_type_fixed_assets,FALSE,l10n_al_chart_template_generic
2181,2181,Mobilje dhe pajisje zyre,account.data_account_type_fixed_assets,FALSE,l10n_al_chart_template_generic
2182,2182,Pajisje informative,account.data_account_type_fixed_assets,FALSE,l10n_al_chart_template_generic
2188,2188,Te tjera,account.data_account_type_fixed_assets,FALSE,l10n_al_chart_template_generic
231,231,AA materiale ne proces,account.data_account_type_fixed_assets,FALSE,l10n_al_chart_template_generic
232,232,AA jomateriale ne proces,account.data_account_type_fixed_assets,FALSE,l10n_al_chart_template_generic
2801,2801,Amortizim per emrin e mire,account.data_account_type_fixed_assets,FALSE,l10n_al_chart_template_generic
2803,2803,Për shpenzimet e zhvillimit,account.data_account_type_fixed_assets,FALSE,l10n_al_chart_template_generic
2805,2805,"Amortizim per koncensione dhe të drejta të ngjashme, licensa",account.data_account_type_fixed_assets,FALSE,l10n_al_chart_template_generic
